text,sentiment,confidence,harassment_proxy_flag,prob_NEUTRAL,prob_NEGATIVE,prob_POSITIVE
頭悪いからできないよね,NEGATIVE,0.9922,True,0.0065,0.9922,0.0013
ごめんね,NEGATIVE,0.9901,True,0.0088,0.9901,0.0011
すみませんでした,NEGATIVE,0.9663,True,0.0275,0.9663,0.0063
ばか、そんなこともわからないの,NEGATIVE,0.9521,True,0.0463,0.9521,0.0016
また同じミスしたんだ、さすがだね,NEGATIVE,0.8242,True,0.1592,0.8242,0.0166
資料ありがとうございます、助かりました,POSITIVE,0.9896,False,0.0083,0.0021,0.9896
なんでお前がここにいるの,NEGATIVE,0.7665,True,0.2139,0.7665,0.0195
一応やってはみたけど、まあ期待はしてなかった,NEGATIVE,0.9651,True,0.0312,0.9651,0.0037
明日の会議は10時からです,NEUTRAL,0.9147,False,0.9147,0.016,0.0693
これくらい常識でしょ、普通わかるよね,NEUTRAL,0.826,False,0.826,0.0527,0.1213
手伝ってくれてありがとう、すごく助かった,POSITIVE,0.9899,False,0.0077,0.0024,0.9899
そんなんだから信頼されないんだよ,NEGATIVE,0.995,True,0.0038,0.995,0.0013
今度からは気をつけます,NEUTRAL,0.8873,False,0.8873,0.0427,0.07
君に任せた俺が間違いだった,NEGATIVE,0.9762,True,0.0122,0.9762,0.0116
いつもお疲れさまです,NEGATIVE,0.9798,True,0.0184,0.9798,0.0017
次までにやっておけよ、できなかったら分かってるよな,NEGATIVE,0.498,True,0.4408,0.498,0.0612
質問があれば聞いてください,NEUTRAL,0.8721,False,0.8721,0.0252,0.1027
なんかキモいんだけど,NEGATIVE,0.9847,True,0.0128,0.9847,0.0025
資料の締め切りは金曜日でお願いします,NEUTRAL,0.7583,False,0.7583,0.0178,0.2239
どうせまた無理なんでしょ,NEGATIVE,0.9835,True,0.0154,0.9835,0.0011
新しいプロジェクト楽しみです,POSITIVE,0.9908,False,0.0085,0.0007,0.9908
言い訳ばっかりで情けない,NEGATIVE,0.9937,True,0.0039,0.9937,0.0023
体調どうですか、無理しないでくださいね,NEGATIVE,0.7609,True,0.2305,0.7609,0.0086
使えないやつだな、もう頼まない,NEGATIVE,0.9641,True,0.0323,0.9641,0.0036
今日は天気がいいですね,POSITIVE,0.9695,False,0.0284,0.002,0.9695
黙ってろよ、お前の意見なんか誰も聞いてない,NEGATIVE,0.9435,True,0.0516,0.9435,0.0049
おかげさまで無事終わりました,POSITIVE,0.9531,False,0.0424,0.0045,0.9531
これ、小学生でもできるよ,POSITIVE,0.6593,False,0.3331,0.0077,0.6593
ちゃんと確認してから送ってくださいね,NEUTRAL,0.8077,False,0.8077,0.0549,0.1374
何回言ったらわかるの、頭大丈夫？,NEGATIVE,0.5395,True,0.408,0.5395,0.0525
